IDUsuario,FechaInicioSuscripcion,DuracionSuscripcionMeses,PlanContratado,Region,HorasSemanales,GenerosFavoritos,Edad,Dispositivo,PrecioMensual
24,2024-07-08,17,Prime Video Básico,Cataluña,6.9,Thriller;Action,35,Smartphone,4.99
25,2021-01-18,57,Prime Video Estándar,Andalucía,3.2,Horror;Romance,48,Smartphone,9.99
26,2023-02-25,46,Prime Video Básico,Comunidad Valenciana,20.6,Horror;Drama,34,Smart TV,4.99
27,2021-12-28,19,Prime Video Estándar,Cataluña,4.4,Horror;Sci-Fi,27,Laptop,9.99
28,2023-03-14,10,Prime Video Básico,Cataluña,16.1,Drama;Thriller,35,Smart TV,4.99
29,2020-02-20,54,Prime Video Básico,Madrid,23.6,Horror;Romance;Action,27,Smartphone,4.99
30,2021-01-24,24,Prime Video Premium,Madrid,19.5,Romance;Thriller,20,Smart TV,12.99
31,2020-03-27,20,Prime Video Premium,Andalucía,23.0,Romance,30,Smart TV,12.99
32,2022-08-03,41,Prime Video Estándar,Comunidad Valenciana,4.3,Action;Horror;Romance,59,Tablet,9.99
33,2020-08-02,22,Prime Video Básico,Madrid,21.7,Drama;Comedy;Sci-Fi,32,Smart TV,4.99
34,2023-11-17,2,Prime Video Básico,Cataluña,4.6,Thriller;Action,30,Tablet,4.99
35,2021-03-07,18,Prime Video Básico,Madrid,1.3,Thriller,29,Tablet,4.99
36,2021-06-14,25,Prime Video Básico,Galicia,8.2,Drama;Thriller,33,Smartphone,4.99
37,2024-05-30,20,Prime Video Estándar,Andalucía,19.6,Drama;Action,58,Smartphone,9.99
38,2023-08-30,11,Prime Video Estándar,Andalucía,23.3,Horror,23,Smartphone,9.99
39,2020-05-23,51,Prime Video Estándar,Galicia,23.8,Horror;Romance,69,Laptop,9.99
40,2023-06-30,18,Prime Video Premium,Andalucía,3.2,Sci-Fi,52,Smartphone,12.99
41,2024-01-28,57,Prime Video Básico,Murcia,4.9,Sci-Fi;Action;Drama,31,Smartphone,4.99
42,2023-08-02,3,Prime Video Básico,Castilla y León,2.6,Horror,31,Laptop,4.99
43,2024-10-11,22,Prime Video Básico,Andalucía,14.8,Thriller,48,Smart TV,4.99
44,2023-09-02,13,Prime Video Básico,Andalucía,18.6,Horror;Action,51,Smart TV,4.99
45,2020-02-25,1,Compra de películas,Madrid,17.3,Romance;Sci-Fi;Action,34,Tablet,14.99
46,2023-12-02,23,Compra de películas,Andalucía,16.4,Comedy;Horror;Thriller,57,Smart TV,14.99
47,2022-12-16,23,Prime Video Básico,Madrid,13.4,Thriller;Action,61,Smartphone,4.99
48,2020-03-02,53,Alquiler de películas,Cataluña,4.3,Thriller,26,Tablet,3.99
49,2022-05-30,13,Prime Video Básico,Cataluña,20.7,Drama;Horror;Comedy,68,Smartphone,4.99
50,2022-07-15,3,Prime Video Estándar,Madrid,4.7,Romance;Action,58,Tablet,9.99
51,2024-06-11,38,Prime Video Básico,Madrid,3.0,Romance;Sci-Fi;Comedy,19,Smartphone,4.99
52,2024-06-10,17,Prime Video Básico,Andalucía,5.5,Drama;Comedy;Romance,27,Smartphone,4.99
53,2024-12-05,1,Prime Video Premium,Andalucía,22.4,Action;Comedy,50,Smartphone,12.99
54,2023-01-24,1,Prime Video Estándar,Andalucía,9.8,Drama;Sci-Fi,45,Smartphone,9.99
55,2022-01-05,24,Prime Video Básico,Castilla y León,8.1,Horror;Drama;Thriller,49,Tablet,4.99
56,2021-05-29,56,Prime Video Estándar,Comunidad Valenciana,9.0,Romance,22,Smart TV,9.99
57,2020-11-11,37,Prime Video Estándar,Madrid,14.1,Horror;Drama,51,Tablet,9.99
58,2023-08-08,35,Prime Video Básico,Madrid,16.2,Romance;Comedy;Thriller,29,Smartphone,4.99
59,2022-11-18,37,Prime Video Premium,Cataluña,18.6,Horror;Drama;Comedy,36,Tablet,12.99
60,2020-08-08,52,Prime Video Estándar,Canarias,15.5,Drama,45,Tablet,9.99
61,2023-04-02,26,Prime Video Básico,Madrid,4.7,Sci-Fi;Romance,27,Smart TV,4.99
62,2022-07-15,42,Alquiler de películas,Aragón,8.3,Action;Sci-Fi;Thriller,50,Tablet,3.99
63,2024-09-30,43,Prime Video Básico,Madrid,8.6,Horror;Romance,61,Laptop,4.99
64,2023-11-26,48,Prime Video Estándar,Comunidad Valenciana,14.8,Horror,67,Smartphone,9.99
65,2022-01-01,33,Prime Video Básico,Canarias,14.7,Romance;Thriller;Horror,26,Smartphone,4.99
66,2024-05-10,22,Prime Video Básico,Andalucía,16.3,Drama;Action;Sci-Fi,47,Smartphone,4.99
67,2021-07-08,5,Prime Video Estándar,Madrid,22.5,Sci-Fi;Romance;Comedy,33,Smart TV,9.99
68,2023-12-11,60,Prime Video Premium,Madrid,11.5,Sci-Fi,51,Tablet,12.99
69,2022-09-07,54,Prime Video Básico,Cataluña,15.9,Thriller,48,Smartphone,4.99
70,2022-10-05,37,Prime Video Estándar,Madrid,15.6,Comedy;Sci-Fi;Romance,60,Smartphone,9.99
71,2022-01-05,24,Prime Video Premium,Comunidad Valenciana,18.6,Comedy,25,Smartphone,12.99
72,2021-09-13,38,Prime Video Básico,Canarias,1.6,Action;Drama,33,Smartphone,4.99
73,2021-08-21,30,Prime Video Channels,Castilla y León,11.6,Sci-Fi;Action,64,Smartphone,7.99
74,2022-03-20,51,Prime Video Estándar,Cataluña,21.8,Thriller,31,Smart TV,9.99
75,2022-06-19,4,Prime Video Básico,Cataluña,16.7,Drama;Thriller;Romance,35,Smartphone,4.99
76,2024-06-19,18,Prime Video Estándar,País Vasco,14.3,Comedy,25,Smartphone,9.99
77,2020-12-03,18,Prime Video Channels,Madrid,20.0,Sci-Fi;Drama,31,Tablet,7.99
78,2020-11-10,52,Prime Video Estándar,Andalucía,19.5,Drama,44,Smartphone,9.99
79,2023-04-30,4,Prime Video Estándar,Madrid,23.6,Sci-Fi;Comedy,29,Smartphone,9.99
80,2023-12-06,26,Prime Video Básico,Andalucía,20.7,Thriller,63,Smartphone,4.99
81,2023-06-17,58,Prime Video Básico,Cataluña,16.2,Thriller;Sci-Fi,58,Laptop,4.99
82,2024-07-08,6,Prime Video Básico,Andalucía,10.8,Action;Sci-Fi,66,Tablet,4.99
83,2024-01-18,53,Prime Video Básico,Andalucía,1.8,Comedy;Thriller,28,Smartphone,4.99
84,2024-05-07,11,Prime Video Estándar,Comunidad Valenciana,21.4,Comedy;Drama;Thriller,56,Smartphone,9.99
85,2023-02-27,54,Prime Video Estándar,Cataluña,7.7,Romance,30,Tablet,9.99
86,2022-07-26,51,Prime Video Básico,Canarias,8.6,Romance,45,Tablet,4.99
87,2022-11-30,52,Prime Video Básico,Aragón,6.8,Horror;Romance;Drama,40,Smart TV,4.99
88,2022-12-12,2,Prime Video Básico,Castilla y León,1.6,Thriller,63,Smart TV,4.99
89,2021-02-06,56,Prime Video Básico,Madrid,21.8,Action;Sci-Fi;Thriller,26,Tablet,4.99
90,2020-01-27,17,Prime Video Básico,Madrid,18.0,Romance;Horror,27,Smartphone,4.99
91,2022-12-15,1,Prime Video Básico,Comunidad Valenciana,7.3,Romance,49,Smartphone,4.99
92,2022-03-12,55,Prime Video Básico,Galicia,8.2,Drama;Comedy,27,Smartphone,4.99
93,2022-07-24,37,Prime Video Estándar,Cataluña,20.9,Drama;Horror,28,Smart TV,9.99
94,2022-09-20,22,Prime Video Channels,Madrid,16.4,Drama;Action,34,Smartphone,7.99
95,2021-11-06,54,Prime Video Estándar,Andalucía,4.6,Romance;Sci-Fi;Action,29,Smart TV,9.99
96,2020-07-09,29,Prime Video Básico,Comunidad Valenciana,15.9,Action;Horror;Thriller,35,Smartphone,4.99
97,2020-02-17,3,Prime Video Estándar,Comunidad Valenciana,14.6,Horror,60,Laptop,9.99
98,2023-04-01,50,Prime Video Premium,Cataluña,10.7,Drama,52,Smartphone,12.99
99,2020-11-26,35,Prime Video Channels,Murcia,12.9,Horror,67,Smart TV,7.99
100,2022-04-15,31,Prime Video Básico,Cataluña,1.1,Thriller;Sci-Fi;Comedy,19,Tablet,4.99
101,2024-09-12,32,Prime Video Estándar,Comunidad Valenciana,7.4,Horror;Comedy;Action,53,Smartphone,9.99
102,2024-06-04,9,Prime Video Básico,País Vasco,18.9,Drama;Action;Comedy,38,Smart TV,4.99
103,2024-02-07,48,Prime Video Premium,Madrid,14.9,Thriller,44,Smartphone,12.99
104,2021-08-06,40,Prime Video Estándar,Andalucía,2.9,Action;Horror;Thriller,33,Smartphone,9.99
105,2021-09-01,29,Prime Video Premium,Comunidad Valenciana,8.7,Drama;Action,63,Smart TV,12.99
106,2024-07-17,44,Prime Video Estándar,Comunidad Valenciana,17.6,Romance;Action,56,Laptop,9.99
107,2020-09-24,5,Prime Video Básico,Madrid,11.7,Sci-Fi;Comedy;Action,41,Tablet,4.99
108,2024-10-23,25,Prime Video Básico,Madrid,18.3,Sci-Fi;Thriller;Action,40,Smartphone,4.99
109,2024-09-15,8,Prime Video Básico,Comunidad Valenciana,17.5,Sci-Fi;Action,49,Smart TV,4.99
110,2020-03-13,29,Prime Video Básico,Andalucía,22.1,Drama;Action;Horror,36,Smartphone,4.99
111,2023-02-11,42,Prime Video Estándar,Andalucía,1.9,Romance,30,Laptop,9.99
112,2024-12-15,39,Prime Video Básico,País Vasco,7.2,Comedy,22,Smartphone,4.99
113,2021-11-10,35,Prime Video Básico,Madrid,20.8,Sci-Fi,37,Smart TV,4.99
114,2022-11-18,27,Prime Video Básico,Comunidad Valenciana,18.3,Thriller,46,Smartphone,4.99
115,2022-09-12,51,Prime Video Básico,Cataluña,1.8,Horror;Comedy,54,Smart TV,4.99
116,2021-03-22,19,Alquiler de películas,Aragón,7.7,Horror;Comedy,57,Smartphone,3.99
117,2021-08-08,60,Prime Video Estándar,Andalucía,8.6,Thriller;Sci-Fi;Horror,64,Laptop,9.99
118,2023-09-02,34,Prime Video Básico,Castilla y León,21.6,Romance;Drama,35,Smartphone,4.99
119,2021-01-24,39,Prime Video Básico,Cataluña,15.9,Comedy;Action;Drama,27,Smartphone,4.99
120,2020-10-04,3,Prime Video Básico,Aragón,6.0,Comedy;Action;Horror,36,Tablet,4.99
121,2021-09-27,36,Prime Video Estándar,Andalucía,24.7,Romance;Action;Comedy,69,Tablet,9.99
122,2022-05-17,33,Prime Video Básico,Galicia,16.3,Drama;Comedy;Thriller,27,Smartphone,4.99
123,2024-02-25,19,Prime Video Estándar,Galicia,10.0,Action,34,Tablet,9.99
124,2020-07-11,43,Prime Video Básico,Cataluña,20.0,Drama;Romance;Comedy,30,Tablet,4.99
125,2021-03-10,20,Prime Video Básico,Andalucía,21.7,Horror,34,Smartphone,4.99
126,2024-11-24,13,Prime Video Estándar,Andalucía,15.9,Thriller,19,Smartphone,9.99
127,2021-06-01,40,Prime Video Estándar,Cataluña,18.9,Drama,26,Smartphone,9.99
128,2024-12-05,22,Prime Video Básico,Aragón,1.1,Sci-Fi,33,Smart TV,4.99
129,2021-10-09,34,Prime Video Premium,Murcia,6.0,Comedy;Drama,23,Tablet,12.99
130,2021-12-16,38,Prime Video Básico,Cataluña,10.3,Romance;Action;Drama,27,Smart TV,4.99
131,2024-03-12,40,Prime Video Básico,Andalucía,23.2,Drama;Horror,30,Smart TV,4.99
132,2020-09-01,57,Alquiler de películas,País Vasco,1.9,Thriller;Horror;Sci-Fi,31,Smart TV,3.99
133,2024-07-02,57,Prime Video Estándar,Andalucía,7.9,Sci-Fi,28,Tablet,9.99
134,2021-03-20,15,Prime Video Básico,Galicia,11.7,Horror,25,Smartphone,4.99
135,2020-10-09,2,Prime Video Básico,Comunidad Valenciana,12.1,Drama,22,Smartphone,4.99
136,2023-08-17,60,Prime Video para niños,Canarias,8.8,Thriller;Comedy,56,Smartphone,6.99
137,2020-09-01,39,Prime Video Básico,Canarias,21.2,Romance;Action,30,Smartphone,4.99
138,2023-02-20,14,Prime Video Estándar,Aragón,1.8,Horror,21,Smartphone,9.99
139,2021-10-06,36,Prime Video Básico,Andalucía,10.0,Action;Romance,34,Tablet,4.99
140,2022-04-04,2,Prime Video Básico,Madrid,24.6,Comedy,47,Smartphone,4.99
141,2021-09-29,41,Prime Video Premium,Castilla y León,3.4,Drama;Horror,31,Smartphone,12.99
142,2022-03-12,59,Prime Video para niños,Madrid,11.3,Thriller;Action,63,Smartphone,6.99
143,2021-10-23,45,Prime Video Básico,Madrid,16.3,Action;Sci-Fi,19,Smart TV,4.99
144,2020-03-23,27,Prime Video Básico,Comunidad Valenciana,9.2,Action;Horror;Romance,27,Smartphone,4.99
145,2021-05-24,49,Prime Video Básico,Madrid,6.5,Comedy;Romance;Horror,64,Smartphone,4.99
146,2023-06-19,3,Prime Video Básico,Andalucía,18.7,Comedy;Romance;Drama,46,Smartphone,4.99
147,2024-02-23,26,Prime Video Básico,Murcia,15.9,Romance,28,Tablet,4.99
148,2022-03-06,58,Prime Video Básico,Galicia,1.2,Thriller,32,Smart TV,4.99
149,2024-09-07,50,Prime Video Estándar,Castilla y León,5.5,Thriller,25,Tablet,9.99
150,2021-08-17,19,Prime Video Premium,Madrid,5.4,Horror,34,Tablet,12.99
151,2021-05-22,28,Prime Video Básico,Canarias,6.0,Action;Romance;Drama,59,Smartphone,4.99
152,2020-10-30,19,Prime Video Básico,Cataluña,22.1,Drama,57,Smartphone,4.99
153,2020-06-22,24,Prime Video Básico,Cataluña,16.4,Drama;Sci-Fi,28,Tablet,4.99
154,2024-05-29,45,Prime Video Estándar,Cataluña,14.4,Comedy;Horror;Romance,67,Smart TV,9.99
155,2020-06-09,19,Prime Video Estándar,Murcia,18.3,Drama;Action;Thriller,34,Tablet,9.99
156,2021-03-30,52,Prime Video Premium,Castilla y León,17.4,Thriller;Drama,26,Smartphone,12.99
157,2024-05-05,57,Prime Video Estándar,Andalucía,23.6,Drama;Horror,28,Console,9.99
158,2024-08-31,54,Prime Video Estándar,Andalucía,22.9,Drama,66,Tablet,9.99
159,2022-12-06,22,Alquiler de películas,Madrid,7.2,Comedy;Thriller;Romance,62,Smart TV,3.99
160,2020-04-22,32,Prime Video Estándar,Madrid,22.3,Action;Romance;Drama,39,Laptop,9.99
161,2024-09-01,59,Prime Video Básico,Andalucía,17.3,Action;Thriller;Drama,21,Smart TV,4.99
162,2020-08-16,9,Prime Video Básico,Murcia,18.8,Thriller;Sci-Fi,63,Tablet,4.99
163,2022-07-17,39,Prime Video Estándar,País Vasco,23.8,Horror,37,Smart TV,9.99
164,2023-04-26,30,Prime Video Premium,Madrid,2.6,Horror;Action,32,Smart TV,12.99
165,2024-11-27,49,Prime Video Básico,Andalucía,12.4,Action;Sci-Fi,21,Smartphone,4.99
166,2023-05-16,18,Prime Video Estándar,Murcia,19.7,Romance,26,Smart TV,9.99
167,2021-05-31,17,Prime Video Estándar,Madrid,5.0,Horror;Action;Thriller,34,Tablet,9.99
168,2021-09-14,32,Prime Video Estándar,País Vasco,16.5,Horror,39,Smartphone,9.99
169,2020-12-05,51,Prime Video Premium,Madrid,5.4,Horror;Sci-Fi,47,Smart TV,12.99
170,2024-02-03,18,Prime Video Básico,País Vasco,20.6,Action;Sci-Fi;Thriller,31,Smartphone,4.99
171,2021-03-03,42,Prime Video Estándar,Madrid,7.1,Comedy,32,Tablet,9.99
172,2023-01-09,23,Prime Video Channels,Madrid,24.6,Drama;Comedy,36,Smartphone,7.99
173,2022-12-15,49,Prime Video Básico,Canarias,17.0,Action;Comedy;Sci-Fi,46,Smartphone,4.99
174,2023-04-20,24,Prime Video Básico,Cataluña,22.2,Romance;Action;Comedy,58,Smartphone,4.99
175,2022-05-08,33,Prime Video Básico,Murcia,16.0,Thriller;Action;Sci-Fi,25,Tablet,4.99
176,2024-10-10,42,Prime Video Básico,Andalucía,20.4,Drama,55,Smartphone,4.99
177,2024-03-29,56,Alquiler de películas,Madrid,4.8,Romance,27,Smartphone,3.99
178,2020-11-29,54,Prime Video Estándar,Cataluña,16.4,Horror,21,Smartphone,9.99
179,2023-12-10,31,Prime Video Básico,Madrid,14.9,Action,32,Smart TV,4.99
180,2021-05-19,50,Prime Video Básico,Murcia,9.7,Romance,59,Smartphone,4.99
181,2024-02-24,11,Prime Video Channels,Comunidad Valenciana,13.0,Comedy;Drama,32,Smartphone,7.99
182,2022-08-29,17,Prime Video Estándar,Andalucía,19.9,Drama,59,Smart TV,9.99
183,2023-02-16,3,Prime Video Básico,Comunidad Valenciana,11.0,Thriller;Horror,64,Smartphone,4.99
184,2022-07-13,7,Prime Video Básico,Madrid,23.0,Comedy,34,Console,4.99
185,2020-09-21,29,Prime Video Básico,Madrid,5.2,Thriller;Action;Comedy,65,Smartphone,4.99
186,2021-10-24,27,Prime Video Básico,Canarias,21.7,Sci-Fi;Comedy;Romance,58,Laptop,4.99
187,2024-05-17,30,Prime Video Estándar,Castilla y León,18.1,Action;Sci-Fi,50,Tablet,9.99
188,2020-03-04,4,Prime Video Premium,Andalucía,14.7,Comedy;Action;Sci-Fi,18,Laptop,12.99
189,2022-01-17,28,Prime Video Estándar,Andalucía,5.5,Horror,35,Smartphone,9.99
190,2023-06-15,55,Prime Video Básico,Andalucía,17.9,Drama,31,Smartphone,4.99
191,2024-03-19,37,Prime Video Básico,Comunidad Valenciana,23.7,Comedy;Action;Sci-Fi,32,Smartphone,4.99
192,2023-03-01,37,Prime Video Estándar,Aragón,20.3,Romance;Thriller;Action,26,Smartphone,9.99
193,2021-03-28,6,Prime Video Básico,País Vasco,21.7,Action;Comedy;Horror,56,Tablet,4.99
194,2021-10-26,29,Prime Video Estándar,Castilla y León,18.8,Sci-Fi;Romance;Thriller,33,Smart TV,9.99
195,2023-05-04,36,Prime Video Básico,Madrid,21.6,Drama;Horror,19,Smart TV,4.99
196,2024-09-10,2,Prime Video Estándar,Castilla y León,9.7,Horror;Comedy;Romance,29,Smartphone,9.99
197,2024-11-11,29,Prime Video Básico,Madrid,12.6,Horror,30,Smartphone,4.99
198,2020-06-12,50,Prime Video Básico,Andalucía,4.9,Action;Thriller,25,Tablet,4.99
199,2022-02-14,33,Prime Video Básico,Madrid,23.2,Drama;Action;Sci-Fi,35,Smartphone,4.99
200,2020-08-14,12,Prime Video Estándar,Galicia,21.5,Comedy;Action;Romance,53,Tablet,9.99
201,2022-07-03,31,Prime Video Estándar,Galicia,6.8,Comedy,65,Smartphone,9.99
202,2022-06-01,8,Prime Video Básico,Cataluña,13.9,Drama;Sci-Fi,57,Smart TV,4.99
203,2021-08-26,30,Prime Video Básico,Madrid,3.6,Romance;Drama;Action,32,Smart TV,4.99
204,2023-11-29,29,Prime Video Básico,Madrid,19.7,Comedy;Sci-Fi;Action,24,Smartphone,4.99
205,2020-10-06,43,Prime Video Estándar,Canarias,20.3,Action;Thriller;Sci-Fi,50,Smartphone,9.99
206,2021-04-21,42,Prime Video Estándar,Madrid,8.3,Sci-Fi,34,Tablet,9.99
207,2020-03-02,26,Prime Video Estándar,Andalucía,16.8,Action;Drama,38,Smartphone,9.99
208,2023-05-18,10,Prime Video Estándar,Andalucía,20.0,Comedy;Romance;Action,59,Smartphone,9.99
209,2023-10-17,56,Prime Video Básico,Madrid,8.8,Drama,64,Console,4.99
210,2020-12-02,19,Prime Video Estándar,Madrid,15.9,Action;Drama,23,Smart TV,9.99
211,2024-05-30,38,Prime Video Básico,Aragón,23.7,Comedy;Drama,57,Laptop,4.99
212,2021-09-01,5,Prime Video Básico,Cataluña,2.8,Sci-Fi;Action,46,Smartphone,4.99
213,2020-09-28,14,Prime Video Básico,Andalucía,17.6,Thriller;Horror,20,Smartphone,4.99
214,2020-12-24,58,Prime Video Estándar,Castilla y León,12.5,Sci-Fi;Romance;Action,61,Laptop,9.99
215,2020-10-20,46,Prime Video Premium,Murcia,20.4,Sci-Fi;Comedy,30,Smartphone,12.99
216,2024-04-14,36,Prime Video Premium,Comunidad Valenciana,18.1,Comedy;Thriller;Romance,44,Smartphone,12.99
217,2021-11-19,28,Prime Video Estándar,Andalucía,13.7,Romance;Comedy,33,Smart TV,9.99
218,2020-02-13,49,Prime Video Estándar,País Vasco,13.7,Drama;Thriller,19,Tablet,9.99
219,2022-06-01,33,Prime Video para niños,Madrid,3.3,Comedy;Action;Romance,21,Smartphone,6.99
220,2020-02-01,53,Prime Video Básico,Aragón,22.7,Romance,59,Smartphone,4.99
221,2020-04-28,6,Prime Video Básico,Madrid,8.1,Horror,36,Tablet,4.99
222,2024-07-28,10,Compra de películas,Madrid,21.5,Romance,65,Tablet,14.99
223,2020-03-07,56,Prime Video Channels,Andalucía,18.2,Action;Romance,52,Tablet,7.99
224,2023-01-13,27,Prime Video Estándar,Madrid,7.5,Comedy;Sci-Fi;Action,28,Smartphone,9.99
225,2023-02-07,42,Prime Video Básico,Madrid,3.5,Romance;Sci-Fi,50,Console,4.99
226,2021-09-10,56,Prime Video Estándar,Andalucía,1.0,Comedy,33,Smartphone,9.99
227,2020-11-22,46,Prime Video Estándar,País Vasco,18.1,Drama,27,Smartphone,9.99
228,2021-09-13,34,Prime Video Channels,Madrid,16.8,Drama,31,Tablet,7.99
229,2021-01-25,22,Prime Video Básico,Andalucía,22.9,Drama;Horror,31,Tablet,4.99
230,2021-04-21,41,Prime Video Básico,Madrid,3.5,Thriller;Comedy;Action,44,Laptop,4.99
231,2021-05-28,31,Prime Video Estándar,Aragón,10.5,Romance;Comedy,57,Tablet,9.99
232,2023-09-08,55,Prime Video Premium,Comunidad Valenciana,14.9,Romance;Action;Comedy,32,Smartphone,12.99
233,2023-08-08,25,Prime Video Básico,Castilla y León,20.4,Horror;Sci-Fi,29,Smartphone,4.99
234,2024-06-06,16,Prime Video Básico,País Vasco,11.8,Horror;Sci-Fi,42,Smartphone,4.99
235,2023-08-12,40,Prime Video Básico,Galicia,13.9,Drama;Action;Romance,23,Smartphone,4.99
236,2024-06-24,17,Prime Video Básico,Madrid,20.0,Drama;Action,32,Smart TV,4.99
237,2024-09-22,13,Prime Video Básico,Murcia,17.4,Comedy;Action,30,Smart TV,4.99
238,2022-06-10,39,Alquiler de películas,Andalucía,20.7,Drama,31,Smartphone,3.99
239,2020-05-14,40,Prime Video Estándar,Cataluña,24.3,Thriller,62,Smartphone,9.99
240,2023-02-24,5,Prime Video Básico,Andalucía,14.7,Romance;Drama,27,Smart TV,4.99
241,2020-03-21,56,Prime Video para niños,País Vasco,11.2,Comedy;Drama;Sci-Fi,34,Tablet,6.99
242,2023-05-11,41,Prime Video Premium,Comunidad Valenciana,8.6,Action;Comedy,40,Smartphone,12.99
243,2024-01-19,8,Prime Video Básico,Cataluña,3.1,Horror;Action,26,Tablet,4.99
244,2021-12-08,55,Prime Video Básico,Andalucía,20.7,Horror,67,Smartphone,4.99
245,2020-10-28,53,Prime Video Básico,Comunidad Valenciana,2.5,Sci-Fi;Horror;Drama,63,Smartphone,4.99
246,2022-12-26,17,Prime Video Estándar,Aragón,22.6,Drama;Thriller,57,Smart TV,9.99
247,2022-11-27,8,Prime Video Estándar,Andalucía,1.6,Action;Sci-Fi;Romance,32,Smart TV,9.99
248,2020-02-26,38,Prime Video para niños,Cataluña,22.9,Action;Romance;Horror,30,Smartphone,6.99
249,2021-05-06,49,Prime Video Premium,Madrid,9.5,Action;Sci-Fi;Drama,26,Smartphone,12.99
250,2024-10-24,51,Prime Video Básico,Andalucía,19.6,Thriller,25,Smart TV,4.99
251,2022-11-09,53,Prime Video Estándar,Galicia,24.1,Sci-Fi,37,Tablet,9.99
252,2024-02-06,39,Prime Video Básico,Castilla y León,9.8,Horror;Sci-Fi,35,Smartphone,4.99
253,2024-07-26,10,Prime Video Estándar,Aragón,21.9,Romance,35,Smartphone,9.99
254,2021-12-09,28,Prime Video Channels,Madrid,24.3,Horror;Action,52,Smartphone,7.99
255,2024-10-15,55,Prime Video Premium,Madrid,10.2,Romance;Horror,29,Laptop,12.99
256,2021-05-24,36,Prime Video Premium,Comunidad Valenciana,23.9,Comedy,32,Smartphone,12.99
257,2021-03-29,13,Prime Video Básico,Cataluña,19.9,Action,46,Smartphone,4.99
258,2022-06-24,47,Prime Video Estándar,Murcia,13.7,Drama;Horror;Sci-Fi,46,Smartphone,9.99
259,2024-11-25,9,Prime Video Básico,Madrid,6.6,Comedy;Horror;Drama,40,Laptop,4.99
260,2020-02-26,35,Prime Video Básico,Cataluña,13.7,Action;Thriller,37,Smartphone,4.99
261,2023-08-13,48,Prime Video Channels,Madrid,12.0,Thriller,34,Tablet,7.99
262,2023-01-11,34,Prime Video Básico,Andalucía,1.7,Action;Romance,64,Smartphone,4.99
263,2022-06-26,2,Prime Video Premium,Castilla y León,16.9,Drama,32,Smartphone,12.99
264,2023-12-16,42,Prime Video Premium,Canarias,15.1,Romance;Horror,48,Smartphone,12.99
265,2024-07-20,7,Prime Video Básico,Castilla y León,16.9,Horror;Action,54,Smartphone,4.99
266,2020-11-09,19,Prime Video Básico,Andalucía,10.0,Drama;Thriller,68,Smartphone,4.99
267,2024-07-31,43,Prime Video Premium,Madrid,4.4,Comedy,27,Smartphone,12.99
268,2024-10-12,48,Prime Video Estándar,Madrid,11.2,Sci-Fi;Thriller,36,Smart TV,9.99
269,2021-10-07,28,Prime Video Estándar,Andalucía,12.2,Thriller,40,Tablet,9.99
270,2024-02-02,28,Prime Video Básico,Andalucía,17.9,Romance,26,Smartphone,4.99
